,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,winner_team,goal_difference
23634,2001-04-25,Norway,Bulgaria,2,1,Friendly,Oslo,Norway,False,Norway,1
23635,2001-04-25,Poland,Scotland,1,1,Friendly,Bydgoszcz,Poland,False,Draw,0
23636,2001-04-25,Romania,Slovakia,0,0,Friendly,Ploieşti,Romania,False,Draw,0
23637,2001-04-25,Serbia,Russia,0,1,FIFA World Cup qualification,Belgrade,Yugoslavia,True,Russia,1
23638,2001-04-25,Spain,Japan,1,0,Friendly,Córdoba,Spain,False,Spain,1
23639,2001-04-25,Switzerland,Sweden,0,2,Friendly,Geneva,Switzerland,False,Sweden,2
23640,2001-04-25,Trinidad and Tobago,Mexico,1,1,FIFA World Cup qualification,Port of Spain,Trinidad and Tobago,False,Draw,0
23641,2001-04-25,Turkey,Albania,0,2,Friendly,Gaziantep,Turkey,False,Albania,2
23642,2001-04-25,USA,Costa Rica,1,0,FIFA World Cup qualification,Kansas City,USA,False,USA,1
23643,2001-04-25,Uzbekistan,Turkmenistan,1,0,FIFA World Cup qualification,Tashkent,Uzbekistan,False,Uzbekistan,1
23644,2001-04-26,Belize,Nicaragua,2,1,Friendly,Belize City,Belize,False,Belize,1
23645,2001-04-26,Canada,Iran,1,0,Friendly,Cairo,Egypt,True,Canada,1
23646,2001-04-26,Egypt,Korea Republic,1,2,Friendly,Cairo,Egypt,False,Korea Republic,1
23647,2001-04-26,United Arab Emirates,India,1,0,FIFA World Cup qualification,Al Ain,United Arab Emirates,False,United Arab Emirates,1
23648,2001-04-27,Uzbekistan,Jordan,2,2,FIFA World Cup qualification,Tashkent,Uzbekistan,False,Draw,0
23649,2001-04-27,Yemen,Brunei,1,0,FIFA World Cup qualification,Sana'a,Yemen,False,Yemen,1
23650,2001-04-28,Bangladesh,Bhutan,3,1,Friendly,Dhaka,Bangladesh,False,Bangladesh,2
23651,2001-04-28,Congo,Madagascar,2,0,FIFA World Cup qualification,Pointe-Noire,Congo,False,Congo,2
23652,2001-04-28,Maldives,China,0,1,FIFA World Cup qualification,Malé,Maldives,False,China,1
23653,2001-04-29,Cambodia,Indonesia,0,2,FIFA World Cup qualification,Phnom Penh,Cambodia,False,Indonesia,2
23654,2001-04-29,Mozambique,South Africa,0,3,COSAFA Cup,Maputo,Mozambique,False,South Africa,3
23655,2001-04-30,Oman,Laos,12,0,FIFA World Cup qualification,Muscat,Oman,False,Oman,12
23656,2001-04-30,Syria,Philippines,12,0,FIFA World Cup qualification,Aleppo,Syria,False,Syria,12
23657,2001-05-03,Jordan,Taiwan,6,0,FIFA World Cup qualification,Amman,Jordan,False,Jordan,6
23658,2001-05-03,Turkmenistan,Uzbekistan,2,5,FIFA World Cup qualification,Amman,Jordan,True,Uzbekistan,3
23659,2001-05-04,Algeria,Morocco,1,2,FIFA World Cup qualification,Algiers,Algeria,False,Morocco,1
23660,2001-05-04,Oman,Laos,7,0,FIFA World Cup qualification,Muscat,Oman,False,Oman,7
23661,2001-05-04,Syria,Philippines,5,1,FIFA World Cup qualification,Aleppo,Syria,False,Syria,4
